Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Coin,Strategy_Name,Volume_Window,Price_Window,Long_Price_Window,
235.69,-28.88,285,284,0,0,156.9609766,752.0568798,USDT_ADA,Crossover moving average,0,34,10,-264.57
235.69,-29.22,332,331,0,0,134.2968983,752.0568798,USDT_ADA,Crossover moving average,0,28,18,-264.91
235.69,-29.5,398,397,0,0,172.7278205,752.0568798,USDT_ADA,Crossover moving average,0,34,30,-265.19
235.69,-29.54,351,350,0,0,151.2384303,752.0568798,USDT_ADA,Crossover moving average,0,32,26,-265.23
235.69,-29.69,267,266,0,0,152.1145167,752.0568798,USDT_ADA,Crossover moving average,0,34,16,-265.38
235.69,-29.71,580,579,0,0,165.6004161,752.0568798,USDT_ADA,Crossover moving average,0,32,30,-265.4
235.69,-30.06,553,552,0,0,147.6328588,752.0568798,USDT_ADA,Crossover moving average,0,34,2,-265.75
235.69,-30.27,195,194,0,0,146.5992311,752.0568798,USDT_ADA,Crossover moving average,0,48,24,-265.96
235.69,-30.35,282,282,0,0,174.5334291,752.0568798,USDT_ADA,Crossover moving average,0,38,8,-266.04
197.62,-68.44,911,911,0,0,288.3421584,434.2002572,USDT_LTC,Crossover moving average,0,2,18,-266.06
235.69,-30.47,195,195,0,0,136.3347277,752.0568798,USDT_ADA,Crossover moving average,0,48,30,-266.16
235.69,-30.48,217,216,0,0,143.0623598,752.0568798,USDT_ADA,Crossover moving average,0,42,18,-266.17
235.69,-30.5,299,298,0,0,155.6381313,752.0568798,USDT_ADA,Crossover moving average,0,34,26,-266.19
235.69,-30.56,257,257,0,0,172.9206812,752.0568798,USDT_ADA,Crossover moving average,0,40,10,-266.25
300.87,34.56,1492,1492,0,0,100.6746381,590.3701844,USDT_BTC,Crossover moving average,0,6,8,-266.31
235.69,-30.82,476,475,0,0,144.2830355,752.0568798,USDT_ADA,Crossover moving average,0,26,22,-266.51
300.87,34.32,1134,1133,0,0,100.3746449,590.3701844,USDT_BTC,Crossover moving average,0,10,12,-266.55
235.69,-31.07,232,232,0,0,151.1092497,752.0568798,USDT_ADA,Crossover moving average,0,42,30,-266.76
235.69,-31.33,268,268,0,0,167.5784304,752.0568798,USDT_ADA,Crossover moving average,0,40,8,-267.02
300.87,33.45,660,660,0,0,112.2239812,590.3701844,USDT_BTC,Crossover moving average,0,16,8,-267.42
235.69,-31.76,242,241,0,0,155.5919411,752.0568798,USDT_ADA,Crossover moving average,0,38,16,-267.45
300.87,32.88,718,718,0,0,129.3098991,590.3701844,USDT_BTC,Crossover moving average,0,26,2,-267.99
235.69,-32.35,381,380,0,0,174.800579,752.0568798,USDT_ADA,Crossover moving average,0,28,6,-268.04
235.69,-32.45,258,257,0,0,159.0755219,752.0568798,USDT_ADA,Crossover moving average,0,36,14,-268.14
235.69,-32.47,299,298,0,0,150.6836311,752.0568798,USDT_ADA,Crossover moving average,0,32,20,-268.16
235.69,-32.51,207,206,0,0,151.5960712,752.0568798,USDT_ADA,Crossover moving average,0,44,24,-268.2
300.87,32.58,286,286,0,0,126.4109054,590.3701844,USDT_BTC,Crossover moving average,0,36,14,-268.29
300.87,32.22,564,564,0,0,118.9730838,590.3701844,USDT_BTC,Crossover moving average,0,26,22,-268.65
300.87,32.18,488,488,0,0,107.2183073,590.3701844,USDT_BTC,Crossover moving average,0,30,4,-268.69
300.87,32.09,293,293,0,0,110.5252299,590.3701844,USDT_BTC,Crossover moving average,0,36,12,-268.78
235.69,-33.12,270,269,0,0,155.0261386,752.0568798,USDT_ADA,Crossover moving average,0,34,14,-268.81
235.69,-33.24,330,329,0,0,173.2569777,752.0568798,USDT_ADA,Crossover moving average,0,36,30,-268.93
300.87,31.9,475,474,0,0,119.2274732,590.3701844,USDT_BTC,Crossover moving average,0,28,22,-268.97
