Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Coin,Strategy_Name,Volume_Window,Price_Window
235.69,15.25,18,18,0,0,183.3559586503371,752.056879816026,USDT_ADA,Classic_No_Volume,None,15
197.62,-14.27,13,13,0,0,167.46284794892196,434.20025721730667,USDT_LTC,Classic_No_Volume,None,15
13.31,-55.97,18,16,0,0,164.64333115278237,536.2667006478547,USDT_XRP,Classic_No_Volume,None,15
300.87,8.53,13,13,0,0,102.1824987770322,590.370184424182,USDT_BTC,Classic_No_Volume,None,15
465.69,61.45,13,13,0,0,239.34641033748068,1107.8330150165252,USDT_ETH,Classic_No_Volume,None,15
235.69,-15.33,10,10,0,0,147.37459108513124,752.056879816026,USDT_ADA,Classic_No_Volume,None,16
300.87,8.35,10,10,0,0,115.78089575767596,590.370184424182,USDT_BTC,Classic_No_Volume,None,16
197.62,3.96,13,13,0,0,143.49424269409278,434.20025721730667,USDT_LTC,Classic_No_Volume,None,16
13.31,-63.17,12,10,0,0,108.26443463833732,536.2667006478547,USDT_XRP,Classic_No_Volume,None,16
465.69,47.69,10,9,0,0,211.5987963600513,1107.8330150165252,USDT_ETH,Classic_No_Volume,None,16
235.69,-12.71,10,10,0,0,145.9116639781139,752.056879816026,USDT_ADA,Classic_No_Volume,None,17
13.31,0.86,11,9,0,0,81.09512161175239,536.2667006478547,USDT_XRP,Classic_No_Volume,None,17
465.69,17.2,8,8,0,0,197.64397132424781,1107.8330150165252,USDT_ETH,Classic_No_Volume,None,17
300.87,13.35,9,9,0,0,117.13338103481675,590.370184424182,USDT_BTC,Classic_No_Volume,None,17
197.62,-3.4,10,10,0,0,152.42515047481325,434.20025721730667,USDT_LTC,Classic_No_Volume,None,17
235.69,-19.44,9,9,0,0,145.91251208241584,752.056879816026,USDT_ADA,Classic_No_Volume,None,18
197.62,55.38,9,9,0,0,220.2600356950657,434.20025721730667,USDT_LTC,Classic_No_Volume,None,18
13.31,-8.95,7,5,0,0,73.48670310522654,536.2667006478547,USDT_XRP,Classic_No_Volume,None,18
300.87,17.45,9,9,0,0,128.76093619996354,590.370184424182,USDT_BTC,Classic_No_Volume,None,18
465.69,18.19,8,8,0,0,197.3172185947788,1107.8330150165252,USDT_ETH,Classic_No_Volume,None,18
235.69,-37.42,7,7,0,0,136.45586668071616,752.056879816026,USDT_ADA,Classic_No_Volume,None,19
465.69,84.33,6,6,0,0,348.3225220865647,1107.8330150165252,USDT_ETH,Classic_No_Volume,None,19
13.31,-17.1,5,4,0,0,78.37404745558449,536.2667006478547,USDT_XRP,Classic_No_Volume,None,19
300.87,5.65,7,7,0,0,117.174595828231,590.370184424182,USDT_BTC,Classic_No_Volume,None,19
197.62,27.96,6,6,0,0,164.0547546453313,434.20025721730667,USDT_LTC,Classic_No_Volume,None,19
