Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Coin,Strategy_Name,Volume_Window,Price_Window,Long_Price_Window,
235.69,171.14,1457,1457,0,0,480.6716335,752.0568798,USDT_ADA,exp_no_volume,0,37,0,-64.55
235.69,168.45,1286,1286,0,0,445.1909366,752.0568798,USDT_ADA,exp_no_volume,0,49,0,-67.24
235.69,166.23,1506,1506,0,0,491.0129317,752.0568798,USDT_ADA,exp_no_volume,0,34,0,-69.46
235.69,158.59,1353,1353,0,0,447.8305842,752.0568798,USDT_ADA,exp_no_volume,0,45,0,-77.1
235.69,152.96,3146,3146,0,0,492.6128552,752.0568798,USDT_ADA,exp_no_volume,0,7,0,-82.73
235.69,152.54,1243,1243,0,0,416.4983571,752.0568798,USDT_ADA,exp_no_volume,0,52,0,-83.15
235.69,151.85,1523,1523,0,0,466.9948183,752.0568798,USDT_ADA,exp_no_volume,0,33,0,-83.84
235.69,151.27,1321,1321,0,0,422.3248023,752.0568798,USDT_ADA,exp_no_volume,0,47,0,-84.42
235.69,149.55,1260,1260,0,0,401.4433268,752.0568798,USDT_ADA,exp_no_volume,0,51,0,-86.14
235.69,147.93,1298,1298,0,0,398.9251028,752.0568798,USDT_ADA,exp_no_volume,0,48,0,-87.76
235.69,144.95,1335,1335,0,0,421.5919332,752.0568798,USDT_ADA,exp_no_volume,0,46,0,-90.74
235.69,144.29,1265,1265,0,0,389.0353725,752.0568798,USDT_ADA,exp_no_volume,0,50,0,-91.4
235.69,141.54,1535,1535,0,0,442.1334445,752.0568798,USDT_ADA,exp_no_volume,0,32,0,-94.15
235.69,133.52,1196,1196,0,0,369.4411391,752.0568798,USDT_ADA,exp_no_volume,0,55,0,-102.17
235.69,132.61,1131,1131,0,0,368.0063902,752.0568798,USDT_ADA,exp_no_volume,0,61,0,-103.08
235.69,131.48,1563,1563,0,0,422.7182527,752.0568798,USDT_ADA,exp_no_volume,0,31,0,-104.21
235.69,131.1,1172,1172,0,0,361.4646293,752.0568798,USDT_ADA,exp_no_volume,0,57,0,-104.59
235.69,130.02,1229,1229,0,0,370.6124128,752.0568798,USDT_ADA,exp_no_volume,0,53,0,-105.67
235.69,129.48,1170,1170,0,0,354.5114888,752.0568798,USDT_ADA,exp_no_volume,0,58,0,-106.21
235.69,129.36,1121,1121,0,0,359.2924034,752.0568798,USDT_ADA,exp_no_volume,0,62,0,-106.33
235.69,128.48,1204,1204,0,0,353.6291849,752.0568798,USDT_ADA,exp_no_volume,0,54,0,-107.21
235.69,127.66,1102,1102,0,0,349.3574332,752.0568798,USDT_ADA,exp_no_volume,0,63,0,-108.03
235.69,126.73,1140,1140,0,0,352.7499195,752.0568798,USDT_ADA,exp_no_volume,0,60,0,-108.96
235.69,126.03,1177,1177,0,0,348.1507578,752.0568798,USDT_ADA,exp_no_volume,0,56,0,-109.66
235.69,124.6,1158,1158,0,0,348.4731246,752.0568798,USDT_ADA,exp_no_volume,0,59,0,-111.09
235.69,122.72,1093,1093,0,0,345.297366,752.0568798,USDT_ADA,exp_no_volume,0,64,0,-112.97
235.69,120.26,3392,3392,0,0,411.9942515,752.0568798,USDT_ADA,exp_no_volume,0,6,0,-115.43
235.69,116.04,1052,1052,0,0,348.9197795,752.0568798,USDT_ADA,exp_no_volume,0,69,0,-119.65
300.87,181.01,3833,3832,0,0,404.6512792,590.3701844,USDT_BTC,exp_no_volume,0,2,0,-119.86
235.69,115.3,1082,1082,0,0,333.5918767,752.0568798,USDT_ADA,exp_no_volume,0,65,0,-120.39
235.69,112.83,1062,1062,0,0,324.3267785,752.0568798,USDT_ADA,exp_no_volume,0,68,0,-122.86
235.69,108.12,1047,1047,0,0,332.9789992,752.0568798,USDT_ADA,exp_no_volume,0,70,0,-127.57
235.69,107.07,1066,1066,0,0,320.7969223,752.0568798,USDT_ADA,exp_no_volume,0,67,0,-128.62
235.69,102.26,1589,1589,0,0,371.1957555,752.0568798,USDT_ADA,exp_no_volume,0,30,0,-133.43
235.69,102.07,1076,1076,0,0,304.3792922,752.0568798,USDT_ADA,exp_no_volume,0,66,0,-133.62
235.69,95.64,2925,2925,0,0,313.619075,752.0568798,USDT_ADA,exp_no_volume,0,8,0,-140.05
465.69,323.29,2646,2645,0,0,878.7557735,1107.833015,USDT_ETH,exp_no_volume,0,5,0,-142.4
235.69,91.61,1607,1607,0,0,358.6118992,752.0568798,USDT_ADA,exp_no_volume,0,29,0,-144.08
235.69,88.08,1017,1017,0,0,291.566627,752.0568798,USDT_ADA,exp_no_volume,0,74,0,-147.61
235.69,86.56,977,977,0,0,290.2159249,752.0568798,USDT_ADA,exp_no_volume,0,78,0,-149.13
465.69,313.7,2875,2874,0,0,853.5206595,1107.833015,USDT_ETH,exp_no_volume,0,4,0,-151.99
235.69,82.01,1624,1624,0,0,328.5006126,752.0568798,USDT_ADA,exp_no_volume,0,27,0,-153.68
235.69,81.28,1019,1019,0,0,286.7145373,752.0568798,USDT_ADA,exp_no_volume,0,73,0,-154.41
235.69,80.69,1698,1698,0,0,316.4587904,752.0568798,USDT_ADA,exp_no_volume,0,25,0,-155
300.87,145.37,2590,2589,0,0,291.4284622,590.3701844,USDT_BTC,exp_no_volume,0,5,0,-155.5
235.69,77.88,2096,2096,0,0,239.5646031,752.0568798,USDT_ADA,exp_no_volume,0,16,0,-157.81
235.69,77.88,1030,1030,0,0,272.7208957,752.0568798,USDT_ADA,exp_no_volume,0,71,0,-157.81
235.69,77.48,963,963,0,0,259.624184,752.0568798,USDT_ADA,exp_no_volume,0,79,0,-158.21
235.69,76.67,984,984,0,0,273.2918628,752.0568798,USDT_ADA,exp_no_volume,0,77,0,-159.02
235.69,76.5,1668,1668,0,0,308.5760753,752.0568798,USDT_ADA,exp_no_volume,0,26,0,-159.19
300.87,141.38,3227,3226,0,0,318.2037674,590.3701844,USDT_BTC,exp_no_volume,0,3,0,-159.49
235.69,70.65,2760,2760,0,0,270.5703601,752.0568798,USDT_ADA,exp_no_volume,0,9,0,-165.04
235.69,69.87,1732,1732,0,0,261.7459482,752.0568798,USDT_ADA,exp_no_volume,0,24,0,-165.82
235.69,69.5,991,991,0,0,255.5775477,752.0568798,USDT_ADA,exp_no_volume,0,76,0,-166.19
235.69,69.29,1618,1618,0,0,297.3180039,752.0568798,USDT_ADA,exp_no_volume,0,28,0,-166.4
235.69,66.54,1000,1000,0,0,254.7815979,752.0568798,USDT_ADA,exp_no_volume,0,75,0,-169.15
235.69,66.35,1024,1024,0,0,250.8046454,752.0568798,USDT_ADA,exp_no_volume,0,72,0,-169.34
235.69,62.06,1747,1747,0,0,244.1537418,752.0568798,USDT_ADA,exp_no_volume,0,23,0,-173.63
235.69,61.91,1985,1985,0,0,205.2682643,752.0568798,USDT_ADA,exp_no_volume,0,18,0,-173.78
300.87,122.33,2871,2870,0,0,265.7797395,590.3701844,USDT_BTC,exp_no_volume,0,4,0,-178.54
235.69,56.28,2043,2043,0,0,205.8988769,752.0568798,USDT_ADA,exp_no_volume,0,17,0,-179.41
300.87,118.78,1700,1699,0,0,287.6290107,590.3701844,USDT_BTC,exp_no_volume,0,12,0,-182.09
235.69,52.34,2151,2151,0,0,190.1602918,752.0568798,USDT_ADA,exp_no_volume,0,15,0,-183.35
235.69,49.32,1785,1785,0,0,205.9937148,752.0568798,USDT_ADA,exp_no_volume,0,22,0,-186.37
300.87,112.45,1636,1635,0,0,272.5275356,590.3701844,USDT_BTC,exp_no_volume,0,13,0,-188.42
235.69,46.98,2626,2626,0,0,204.0027901,752.0568798,USDT_ADA,exp_no_volume,0,10,0,-188.71
235.69,44,2508,2508,0,0,203.5961141,752.0568798,USDT_ADA,exp_no_volume,0,11,0,-191.69
465.69,273.77,2402,2401,0,0,697.6202607,1107.833015,USDT_ETH,exp_no_volume,0,6,0,-191.92
300.87,107.47,1514,1513,0,0,255.7550091,590.3701844,USDT_BTC,exp_no_volume,0,15,0,-193.4
235.69,39.81,1917,1917,0,0,177.0819545,752.0568798,USDT_ADA,exp_no_volume,0,19,0,-195.88
300.87,103.14,1752,1751,0,0,265.4274497,590.3701844,USDT_BTC,exp_no_volume,0,11,0,-197.73
235.69,37.14,2291,2291,0,0,183.4431071,752.0568798,USDT_ADA,exp_no_volume,0,13,0,-198.55
235.69,35.59,1826,1826,0,0,172.653271,752.0568798,USDT_ADA,exp_no_volume,0,21,0,-200.1
300.87,100.61,1570,1569,0,0,247.3963442,590.3701844,USDT_BTC,exp_no_volume,0,14,0,-200.26
235.69,35.29,2393,2393,0,0,193.954035,752.0568798,USDT_ADA,exp_no_volume,0,12,0,-200.4
300.87,98.44,1960,1959,0,0,258.8669681,590.3701844,USDT_BTC,exp_no_volume,0,9,0,-202.43
235.69,33.05,2210,2210,0,0,165.7083043,752.0568798,USDT_ADA,exp_no_volume,0,14,0,-202.64
465.69,261.92,2220,2219,0,0,656.7430157,1107.833015,USDT_ETH,exp_no_volume,0,7,0,-203.77
300.87,95.71,1269,1268,0,0,222.5813695,590.3701844,USDT_BTC,exp_no_volume,0,20,0,-205.16
300.87,95.59,2373,2372,0,0,230.062933,590.3701844,USDT_BTC,exp_no_volume,0,6,0,-205.28
235.69,29.85,1873,1873,0,0,166.2768631,752.0568798,USDT_ADA,exp_no_volume,0,20,0,-205.84
300.87,94.32,1455,1454,0,0,238.0912586,590.3701844,USDT_BTC,exp_no_volume,0,16,0,-206.55
300.87,93.07,2213,2212,0,0,242.8935373,590.3701844,USDT_BTC,exp_no_volume,0,7,0,-207.8
300.87,89.04,2059,2058,0,0,238.9977624,590.3701844,USDT_BTC,exp_no_volume,0,8,0,-211.83
300.87,87.49,871,871,0,0,216.3272386,590.3701844,USDT_BTC,exp_no_volume,0,43,0,-213.38
300.87,85.68,1846,1845,0,0,244.8566172,590.3701844,USDT_BTC,exp_no_volume,0,10,0,-215.19
300.87,82.63,1389,1388,0,0,212.7445776,590.3701844,USDT_BTC,exp_no_volume,0,17,0,-218.24
300.87,81.18,1307,1306,0,0,204.6719008,590.3701844,USDT_BTC,exp_no_volume,0,19,0,-219.69
300.87,79.16,1233,1232,0,0,186.7854699,590.3701844,USDT_BTC,exp_no_volume,0,21,0,-221.71
300.87,78.87,829,829,0,0,201.2611493,590.3701844,USDT_BTC,exp_no_volume,0,46,0,-222
300.87,78.29,893,893,0,0,201.361959,590.3701844,USDT_BTC,exp_no_volume,0,41,0,-222.58
300.87,77.95,1211,1210,0,0,188.3626116,590.3701844,USDT_BTC,exp_no_volume,0,22,0,-222.92
300.87,77.12,816,816,0,0,195.1473165,590.3701844,USDT_BTC,exp_no_volume,0,47,0,-223.75
300.87,74.97,879,879,0,0,195.7400817,590.3701844,USDT_BTC,exp_no_volume,0,42,0,-225.9
300.87,74.57,1338,1337,0,0,200.9344267,590.3701844,USDT_BTC,exp_no_volume,0,18,0,-226.3
300.87,71.73,787,787,0,0,177.5095301,590.3701844,USDT_BTC,exp_no_volume,0,49,0,-229.14
300.87,70.8,774,774,0,0,172.0059946,590.3701844,USDT_BTC,exp_no_volume,0,50,0,-230.07
300.87,70.17,837,837,0,0,187.4704733,590.3701844,USDT_BTC,exp_no_volume,0,45,0,-230.7
300.87,69.59,927,927,0,0,185.3484381,590.3701844,USDT_BTC,exp_no_volume,0,37,0,-231.28
300.87,68.75,849,849,0,0,183.3489987,590.3701844,USDT_BTC,exp_no_volume,0,44,0,-232.12
300.87,68.06,758,758,0,0,166.9543849,590.3701844,USDT_BTC,exp_no_volume,0,51,0,-232.81
300.87,67.41,798,798,0,0,174.3628742,590.3701844,USDT_BTC,exp_no_volume,0,48,0,-233.46
300.87,66.9,885,885,0,0,175.9746665,590.3701844,USDT_BTC,exp_no_volume,0,40,0,-233.97
300.87,66.06,727,727,0,0,166.4227036,590.3701844,USDT_BTC,exp_no_volume,0,54,0,-234.81
