Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Coin,Strategy_Name,Volume_Window,Price_Window,Long_Price_Window
197.62,1407.32,1951,1950,0,0,2682.639712,434.2002572,USDT_LTC,standard_no_volume,0,14,0
13.31,128.95,2438,2436,0,0,636.8341943,536.2667006,USDT_XRP,standard_no_volume,0,14,0
465.69,76.37,1432,1431,0,0,217.5064693,1107.833015,USDT_ETH,standard_no_volume,0,14,0
0.68,35.37,1176,1176,0,0,307.7946247,307.88158,USDT_NEO,standard_no_volume,0,16,0
-12.85,86.97,1209,1209,0,0,224.1665776,138.1956851,USDT_DASH,standard_no_volume,0,16,0
235.69,34.55,1873,1873,0,0,171.6217602,752.0568798,USDT_ADA,standard_no_volume,0,16,0
197.62,1236.25,1768,1767,0,0,2329.273127,434.2002572,USDT_LTC,standard_no_volume,0,16,0
465.69,132.12,1334,1333,0,0,295.6745464,1107.833015,USDT_ETH,standard_no_volume,0,16,0
300.87,75.04,1329,1328,0,0,177.4854171,590.3701844,USDT_BTC,standard_no_volume,0,16,0
13.31,93.8,2268,2266,0,0,625.0971592,536.2667006,USDT_XRP,standard_no_volume,0,16,0
0.68,48.44,1097,1097,0,0,325.2309034,307.88158,USDT_NEO,standard_no_volume,0,18,0
-12.85,108.55,1109,1109,0,0,257.8880083,138.1956851,USDT_DASH,standard_no_volume,0,18,0
235.69,58.87,1743,1743,0,0,170.2638092,752.0568798,USDT_ADA,standard_no_volume,0,18,0
300.87,76.64,1251,1250,0,0,191.9100334,590.3701844,USDT_BTC,standard_no_volume,0,18,0
13.31,47.99,2107,2105,0,0,539.48843,536.2667006,USDT_XRP,standard_no_volume,0,18,0
465.69,112.9,1238,1237,0,0,238.0229788,1107.833015,USDT_ETH,standard_no_volume,0,18,0
197.62,982.43,1645,1644,0,0,2005.470689,434.2002572,USDT_LTC,standard_no_volume,0,18,0
0.68,27.76,1039,1039,0,0,318.8625171,307.88158,USDT_NEO,standard_no_volume,0,20,0
-12.85,88.93,1077,1077,0,0,231.928452,138.1956851,USDT_DASH,standard_no_volume,0,20,0
235.69,23.58,1646,1646,0,0,151.0049152,752.0568798,USDT_ADA,standard_no_volume,0,20,0
197.62,826.82,1541,1540,0,0,1757.029292,434.2002572,USDT_LTC,standard_no_volume,0,20,0
465.69,109.92,1181,1180,0,0,246.6701758,1107.833015,USDT_ETH,standard_no_volume,0,20,0
300.87,73.19,1178,1178,0,0,201.7883642,590.3701844,USDT_BTC,standard_no_volume,0,20,0
13.31,30.71,2000,1999,0,0,482.6261219,536.2667006,USDT_XRP,standard_no_volume,0,20,0
0.68,37.75,1009,1009,0,0,295.8025235,307.88158,USDT_NEO,standard_no_volume,0,22,0
235.69,43.38,1551,1551,0,0,191.9336681,752.0568798,USDT_ADA,standard_no_volume,0,22,0
-12.85,41.95,993,993,0,0,141.0943889,138.1956851,USDT_DASH,standard_no_volume,0,22,0
197.62,619.31,1452,1451,0,0,1357.462685,434.2002572,USDT_LTC,standard_no_volume,0,22,0
13.31,37.22,1903,1902,0,0,491.127219,536.2667006,USDT_XRP,standard_no_volume,0,22,0
300.87,84.23,1123,1123,0,0,213.2145115,590.3701844,USDT_BTC,standard_no_volume,0,22,0
465.69,108.91,1134,1133,0,0,261.1489559,1107.833015,USDT_ETH,standard_no_volume,0,22,0
0.68,33.29,973,973,0,0,324.0289423,307.88158,USDT_NEO,standard_no_volume,0,24,0
-12.85,19.76,969,969,0,0,130.2595618,138.1956851,USDT_DASH,standard_no_volume,0,24,0
235.69,3.89,1472,1472,0,0,192.8126068,752.0568798,USDT_ADA,standard_no_volume,0,24,0
300.87,62.55,1053,1053,0,0,172.9499626,590.3701844,USDT_BTC,standard_no_volume,0,24,0
197.62,474.63,1371,1370,0,0,1072.236594,434.2002572,USDT_LTC,standard_no_volume,0,24,0
465.69,87.87,1066,1065,0,0,227.9799652,1107.833015,USDT_ETH,standard_no_volume,0,24,0
13.31,84.98,1832,1832,0,0,691.3200175,536.2667006,USDT_XRP,standard_no_volume,0,24,0
0.68,12.68,924,923,0,0,295.2855803,307.88158,USDT_NEO,standard_no_volume,0,26,0
-12.85,50.39,948,948,0,0,194.9755301,138.1956851,USDT_DASH,standard_no_volume,0,26,0
235.69,15.41,1450,1450,0,0,207.7698525,752.0568798,USDT_ADA,standard_no_volume,0,26,0
197.62,576.07,1326,1325,0,0,1244.938189,434.2002572,USDT_LTC,standard_no_volume,0,26,0
465.69,103.95,1044,1043,0,0,264.4459036,1107.833015,USDT_ETH,standard_no_volume,0,26,0
13.31,79.74,1741,1741,0,0,580.5013831,536.2667006,USDT_XRP,standard_no_volume,0,26,0
300.87,81.44,1022,1022,0,0,199.6438159,590.3701844,USDT_BTC,standard_no_volume,0,26,0
0.68,28.41,891,890,0,0,309.1769161,307.88158,USDT_NEO,standard_no_volume,0,28,0
-12.85,43.84,877,877,0,0,184.7057716,138.1956851,USDT_DASH,standard_no_volume,0,28,0
235.69,-19.36,1394,1394,0,0,173.1314245,752.0568798,USDT_ADA,standard_no_volume,0,28,0
197.62,593.19,1327,1326,0,0,1382.260448,434.2002572,USDT_LTC,standard_no_volume,0,28,0
300.87,68,968,968,0,0,163.9561108,590.3701844,USDT_BTC,standard_no_volume,0,28,0
465.69,96.91,1008,1007,0,0,249.5839934,1107.833015,USDT_ETH,standard_no_volume,0,28,0
13.31,48.15,1668,1667,0,0,498.0205772,536.2667006,USDT_XRP,standard_no_volume,0,28,0
0.68,-7.85,820,819,0,0,180.756973,307.88158,USDT_NEO,standard_no_volume,0,30,0
-12.85,30.38,834,834,0,0,162.6115881,138.1956851,USDT_DASH,standard_no_volume,0,30,0
235.69,3.72,1354,1354,0,0,177.810999,752.0568798,USDT_ADA,standard_no_volume,0,30,0
300.87,46,917,917,0,0,138.057029,590.3701844,USDT_BTC,standard_no_volume,0,30,0
465.69,71.36,936,935,0,0,192.34502,1107.833015,USDT_ETH,standard_no_volume,0,30,0
13.31,113.56,1626,1625,0,0,701.6886636,536.2667006,USDT_XRP,standard_no_volume,0,30,0
197.62,456.85,1211,1210,0,0,1054.831497,434.2002572,USDT_LTC,standard_no_volume,0,30,0
0.68,-4.44,804,803,0,0,162.3697289,307.88158,USDT_NEO,standard_no_volume,0,32,0
235.69,24.98,1317,1317,0,0,190.8956617,752.0568798,USDT_ADA,standard_no_volume,0,32,0
-12.85,13.18,804,804,0,0,146.0606612,138.1956851,USDT_DASH,standard_no_volume,0,32,0
300.87,31.13,864,864,0,0,125.9013233,590.3701844,USDT_BTC,standard_no_volume,0,32,0
465.69,65.8,914,913,0,0,181.0897829,1107.833015,USDT_ETH,standard_no_volume,0,32,0
13.31,95.41,1567,1567,0,0,599.8922477,536.2667006,USDT_XRP,standard_no_volume,0,32,0
197.62,511.92,1136,1135,0,0,1115.918843,434.2002572,USDT_LTC,standard_no_volume,0,32,0
0.68,2.95,772,771,0,0,187.1009835,307.88158,USDT_NEO,standard_no_volume,0,34,0
235.69,18.11,1268,1268,0,0,194.1164438,752.0568798,USDT_ADA,standard_no_volume,0,34,0
-12.85,-4.06,749,749,0,0,122.9611369,138.1956851,USDT_DASH,standard_no_volume,0,34,0
465.69,67.23,901,900,0,0,204.399415,1107.833015,USDT_ETH,standard_no_volume,0,34,0
300.87,33.77,848,848,0,0,125.2786961,590.3701844,USDT_BTC,standard_no_volume,0,34,0
197.62,320.03,1052,1051,0,0,687.5447081,434.2002572,USDT_LTC,standard_no_volume,0,34,0
13.31,67.51,1534,1534,0,0,482.9697669,536.2667006,USDT_XRP,standard_no_volume,0,34,0
0.68,13.6,754,753,0,0,215.3011251,307.88158,USDT_NEO,standard_no_volume,0,36,0
-12.85,-10.55,716,716,0,0,116.1758175,138.1956851,USDT_DASH,standard_no_volume,0,36,0
235.69,21.27,1237,1237,0,0,182.734001,752.0568798,USDT_ADA,standard_no_volume,0,36,0
300.87,31.81,820,820,0,0,123.8640581,590.3701844,USDT_BTC,standard_no_volume,0,36,0
465.69,38.02,844,843,0,0,145.3390439,1107.833015,USDT_ETH,standard_no_volume,0,36,0
197.62,283.96,1021,1020,0,0,661.8302809,434.2002572,USDT_LTC,standard_no_volume,0,36,0
13.31,75.07,1467,1467,0,0,496.7980704,536.2667006,USDT_XRP,standard_no_volume,0,36,0
0.68,1.54,735,734,0,0,195.5133333,307.88158,USDT_NEO,standard_no_volume,0,38,0
-12.85,-2.44,701,701,0,0,119.8355138,138.1956851,USDT_DASH,standard_no_volume,0,38,0
235.69,23.26,1178,1178,0,0,168.6898054,752.0568798,USDT_ADA,standard_no_volume,0,38,0
300.87,40.64,809,808,0,0,126.6026473,590.3701844,USDT_BTC,standard_no_volume,0,38,0
465.69,30.89,822,821,0,0,149.2157727,1107.833015,USDT_ETH,standard_no_volume,0,38,0
197.62,272.36,999,998,0,0,639.8396347,434.2002572,USDT_LTC,standard_no_volume,0,38,0
13.31,114.62,1418,1418,0,0,607.8247695,536.2667006,USDT_XRP,standard_no_volume,0,38,0
0.68,5.04,728,727,0,0,213.5038337,307.88158,USDT_NEO,standard_no_volume,0,40,0
-12.85,-7.76,674,674,0,0,115.4117826,138.1956851,USDT_DASH,standard_no_volume,0,40,0
235.69,12.66,1131,1131,0,0,154.4393295,752.0568798,USDT_ADA,standard_no_volume,0,40,0
465.69,31.13,786,785,0,0,162.3835126,1107.833015,USDT_ETH,standard_no_volume,0,40,0
197.62,234.79,965,964,0,0,563.048129,434.2002572,USDT_LTC,standard_no_volume,0,40,0
13.31,99.1,1346,1346,0,0,548.6884275,536.2667006,USDT_XRP,standard_no_volume,0,40,0
300.87,46.7,791,790,0,0,138.6280765,590.3701844,USDT_BTC,standard_no_volume,0,40,0
0.68,33.92,720,719,0,0,322.7654389,307.88158,USDT_NEO,standard_no_volume,0,42,0
235.69,49.99,1113,1113,0,0,200.3908808,752.0568798,USDT_ADA,standard_no_volume,0,42,0
-12.85,15.78,656,656,0,0,128.0667159,138.1956851,USDT_DASH,standard_no_volume,0,42,0
13.31,32.55,1285,1285,0,0,349.081102,536.2667006,USDT_XRP,standard_no_volume,0,42,0
300.87,68.84,760,759,0,0,160.2358104,590.3701844,USDT_BTC,standard_no_volume,0,42,0
465.69,18.25,769,768,0,0,153.5404122,1107.833015,USDT_ETH,standard_no_volume,0,42,0
197.62,155.1,907,906,0,0,393.6929947,434.2002572,USDT_LTC,standard_no_volume,0,42,0
0.68,29.57,696,695,0,0,285.196578,307.88158,USDT_NEO,standard_no_volume,0,44,0
235.69,38.61,1091,1091,0,0,187.291561,752.0568798,USDT_ADA,standard_no_volume,0,44,0
-12.85,32.43,674,674,0,0,150.2323089,138.1956851,USDT_DASH,standard_no_volume,0,44,0
197.62,188.15,925,924,0,0,429.949694,434.2002572,USDT_LTC,standard_no_volume,0,44,0
300.87,56.36,746,745,0,0,148.2258348,590.3701844,USDT_BTC,standard_no_volume,0,44,0
465.69,27.55,752,751,0,0,161.3725906,1107.833015,USDT_ETH,standard_no_volume,0,44,0
13.31,14.83,1239,1239,0,0,313.076259,536.2667006,USDT_XRP,standard_no_volume,0,44,0
0.68,36.82,680,679,0,0,341.0186865,307.88158,USDT_NEO,standard_no_volume,0,46,0
235.69,43.83,1067,1067,0,0,187.2132806,752.0568798,USDT_ADA,standard_no_volume,0,46,0
-12.85,26,660,660,0,0,150.7091395,138.1956851,USDT_DASH,standard_no_volume,0,46,0
300.87,49.09,721,720,0,0,144.1236356,590.3701844,USDT_BTC,standard_no_volume,0,46,0
197.62,179.34,874,873,0,0,404.3983141,434.2002572,USDT_LTC,standard_no_volume,0,46,0
465.69,35.98,731,730,0,0,169.7555497,1107.833015,USDT_ETH,standard_no_volume,0,46,0
13.31,-3.26,1198,1198,0,0,270.7126225,536.2667006,USDT_XRP,standard_no_volume,0,46,0
0.68,52.09,664,663,0,0,409.7013238,307.88158,USDT_NEO,standard_no_volume,0,48,0
-12.85,31.04,630,630,0,0,159.0842364,138.1956851,USDT_DASH,standard_no_volume,0,48,0
235.69,85.45,1069,1069,0,0,257.5476333,752.0568798,USDT_ADA,standard_no_volume,0,48,0
465.69,35.97,703,702,0,0,164.7305695,1107.833015,USDT_ETH,standard_no_volume,0,48,0
197.62,172.07,838,837,0,0,409.6574671,434.2002572,USDT_LTC,standard_no_volume,0,48,0
300.87,46.64,699,698,0,0,134.356727,590.3701844,USDT_BTC,standard_no_volume,0,48,0
13.31,-0.37,1165,1165,0,0,304.2606548,536.2667006,USDT_XRP,standard_no_volume,0,48,0
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,standard,0,0,0
235.69,0,0,0,0,0,0,752.0568798,USDT_ADA,standard,0,0,0
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,standard,0,0,0
465.69,0,0,0,0,0,0,1107.833015,USDT_ETH,standard,0,0,0
300.87,0,0,0,0,0,0,590.3701844,USDT_BTC,standard,0,0,0
197.62,0,0,0,0,0,0,434.2002572,USDT_LTC,standard,0,0,0
13.31,0,0,0,0,0,0,536.2667006,USDT_XRP,standard,0,0,0
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,standard,2,0,0
235.69,0,0,0,0,0,0,752.0568798,USDT_ADA,standard,2,0,0
13.31,0,0,0,0,0,0,536.2667006,USDT_XRP,standard,2,0,0
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,standard,2,0,0
300.87,0,0,0,0,0,0,590.3701844,USDT_BTC,standard,2,0,0
465.69,0,0,0,0,0,0,1107.833015,USDT_ETH,standard,2,0,0
197.62,0,0,0,0,0,0,434.2002572,USDT_LTC,standard,2,0,0
235.69,0,0,0,0,0,0,752.0568798,USDT_ADA,standard,4,0,0
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,standard,4,0,0
13.31,0,0,0,0,0,0,536.2667006,USDT_XRP,standard,4,0,0
465.69,0,0,0,0,0,0,1107.833015,USDT_ETH,standard,4,0,0
197.62,0,0,0,0,0,0,434.2002572,USDT_LTC,standard,4,0,0
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,standard,4,0,0
300.87,0,0,0,0,0,0,590.3701844,USDT_BTC,standard,4,0,0
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,standard,6,0,0
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,standard,6,0,0
