Net Return,Price Window,Volume_Window
-838.45,32,34
-834.48,32,36
-788.84,32,38
-778.3599999999999,32,40
-777.44,32,42
-779.2200000000003,32,44
-828.1099999999999,32,46
-788.02,32,48
-1201.01,34,0
-836.0,34,2
-856.03,34,4
-848.19,34,6
-902.0,34,8
-958.5699999999999,34,10
-970.3,34,12
-1006.03,34,14
-936.4599999999998,34,16
-926.99,34,18
-946.5699999999999,34,20
-986.5199999999998,34,22
-987.7899999999997,34,24
-976.9699999999998,34,26
-936.78,34,28
-913.37,34,30
-902.3299999999998,34,32
-908.2,34,34
-909.8199999999999,34,36
-879.0099999999998,34,38
-863.7599999999998,34,40
-871.14,34,42
-871.41,34,44
-919.48,34,46
-891.77,34,48
-1201.01,36,0
-890.8199999999999,36,2
-878.28,36,4
-863.67,36,6
-899.0000000000002,36,8
-986.9299999999998,36,10
-961.1299999999998,36,12
-1033.23,36,14
-944.6099999999998,36,16
-965.65,36,18
-990.88,36,20
-1032.62,36,22
-1048.9699999999998,36,24
-1032.6899999999998,36,26
-1016.79,36,28
-986.5999999999998,36,30
-966.6700000000001,36,32
-954.52,36,34
-961.75,36,36
-933.5899999999999,36,38
-929.7,36,40
-923.99,36,42
-926.9699999999998,36,44
-969.1899999999998,36,46
-917.1800000000001,36,48
-1201.01,38,0
-896.0699999999999,38,2
-911.4000000000001,38,4
-907.03,38,6
-955.35,38,8
-1008.96,38,10
-978.53,38,12
-1050.5599999999997,38,14
-972.51,38,16
-1007.8199999999999,38,18
-1008.2799999999997,38,20
-1033.71,38,22
-1043.29,38,24
-1024.87,38,26
-1020.1199999999998,38,28
-1004.35,38,30
-1009.25,38,32
-1000.64,38,34
-993.21,38,36
-965.8,38,38
-954.46,38,40
-937.4399999999998,38,42
-950.2599999999998,38,44
-985.2200000000003,38,46
-961.3799999999998,38,48
-1201.01,40,0
-871.19,40,2
-927.64,40,4
-891.06,40,6
-935.38,40,8
-975.6199999999998,40,10
-953.1,40,12
-1013.88,40,14
-972.89,40,16
-1009.35,40,18
-1013.53,40,20
-1015.46,40,22
-1033.29,40,24
-1023.88,40,26
-1007.6299999999998,40,28
-1002.9,40,30
-1006.2900000000002,40,32
-995.66,40,34
-960.55,40,36
-963.01,40,38
-959.1199999999998,40,40
-952.24,40,42
-945.0899999999999,40,44
-973.25,40,46
-958.36,40,48
-1201.01,42,0
-931.3399999999999,42,2
-953.1999999999998,42,4
-886.14,42,6
-909.22,42,8
-954.7799999999997,42,10
-922.0799999999999,42,12
-964.2499999999998,42,14
-900.7399999999998,42,16
-953.3599999999998,42,18
-964.0699999999997,42,20
-986.79,42,22
-1002.17,42,24
-993.5699999999997,42,26
-981.4,42,28
-971.5599999999997,42,30
-980.64,42,32
-963.7699999999998,42,34
-946.6700000000001,42,36
-936.51,42,38
-937.8099999999997,42,40
-914.46,42,42
-916.2,42,44
-931.2099999999998,42,46
-921.8299999999999,42,48
-1201.0100000000002,44,0
-884.28,44,2
-892.7,44,4
-843.7699999999998,44,6
-880.78,44,8
-903.98,44,10
-881.47,44,12
-938.8999999999997,44,14
-878.48,44,16
-923.5899999999997,44,18
-918.53,44,20
-928.77,44,22
-957.9699999999998,44,24
-962.79,44,26
-938.98,44,28
-912.9,44,30
-917.6,44,32
-902.74,44,34
-878.2099999999998,44,36
-885.79,44,38
-876.26,44,40
-875.0799999999999,44,42
-888.29,44,44
-903.03,44,46
-883.7,44,48
-1201.01,46,0
-916.91,46,2
-896.37,46,4
-897.8499999999999,46,6
-944.36,46,8
-949.95,46,10
-917.4699999999998,46,12
-974.0,46,14
-921.31,46,16
-962.26,46,18
-955.98,46,20
-953.6399999999998,46,22
-975.1600000000001,46,24
-993.1599999999997,46,26
-970.3600000000002,46,28
-946.91,46,30
-940.79,46,32
-932.21,46,34
-905.5999999999997,46,36
-914.12,46,38
-894.7,46,40
-900.5,46,42
-907.35,46,44
-938.1000000000003,46,46
-909.24,46,48
-1201.01,48,0
-812.5200000000002,48,2
-846.4499999999998,48,4
-813.5500000000002,48,6
-856.4400000000003,48,8
-871.0199999999998,48,10
-841.29,48,12
-899.21,48,14
-874.79,48,16
-913.81,48,18
-911.75,48,20
-904.2700000000002,48,22
-929.43,48,24
-954.7099999999998,48,26
-931.1700000000001,48,28
-914.4199999999998,48,30
-895.5699999999999,48,32
-890.3099999999997,48,34
-863.4100000000001,48,36
-861.47,48,38
-843.5400000000002,48,40
-857.3299999999999,48,42
-875.7199999999998,48,44
-877.3199999999999,48,46
-859.1600000000001,48,48
