Net Return,Price Window
-1201.0099999999998,0
2478.2699999999995,2
2356.33,4
1897.93,6
1137.3500000000001,8
865.3100000000002,10
808.0,12
680.5000000000002,14
621.5,16
294.78,18
72.53999999999974,20
-117.99999999999977,22
-123.09999999999991,24
-60.049999999999955,26
-271.13000000000034,28
-214.88,30
-206.44000000000005,32
-202.95000000000005,34
-160.6899999999996,36
-188.66999999999996,38
-241.91999999999985,40
-266.3699999999999,42
-257.30999999999995,44
-198.62,46
-381.4799999999999,48
