Net Return,Price Window
-1201.01,0
3215.24,2
2381.8899999999994,4
1743.31,6
670.03,8
369.8900000000003,10
377.73,12
683.4199999999998,14
493.0899999999999,16
234.81000000000017,18
-20.09999999999968,20
-228.26,22
-434.03999999999996,24
-281.3299999999997,26
-341.87,28
-486.9899999999998,30
-463.02999999999975,32
-695.47,34
-747.8299999999997,36
-720.1399999999998,38
-779.3499999999999,40
-826.5800000000002,42
-813.51,44
-833.2099999999999,46
-778.12,48
